"Population","ISO 3","Country","Country ID","Continent","Continent ID"
40,"CAF","República Centroafricana","caf","África","af"
128,"CIV","Côte d'Ivoire","civ","África","af"
16,"CMR","Camerún","cmr","África","af"
540,"COD","Congo, República Democrática del","cod","África","af"
25,"DZA","Argelia","dza","África","af"
134,"EGY","Egipto","egy","África","af"
28,"ETH","Etiopía","eth","África","af"
1,"GIN","Guinea","gin","África","af"
114,"KEN","Kenia","ken","África","af"
132,"MAR","Marruecos","mar","África","af"
6,"MLI","Malí","mli","África","af"
3,"MOZ","Mozambique","moz","África","af"
241,"NGA","Nigeria","nga","África","af"
24,"TGO","Togo","tgo","África","af"
37,"TUN","Túnez","tun","África","af"
114,"TZA","Tanzania","tza","África","af"
84,"ZAF","Sudáfrica","zaf","África","af"
301,"ARE","Emiratos Árabes Unidos","are","Asia","as"
66,"AZE","Azerbaiyán","aze","Asia","as"
29,"BGD","Bangladesh","bgd","Asia","as"
2282,"CHN","China","chn","Asia","as"
4,"GEO","Georgia","geo","Asia","as"
108,"IDN","Indonesia","idn","Asia","as"
1825,"IND","India","ind","Asia","as"
116,"IRN","Irán","irn","Asia","as"
277,"ISR","Israel","isr","Asia","as"
28,"JOR","Jordania","jor","Asia","as"
3121,"JPN","Japón","jpn","Asia","as"
4,"KAZ","Kazajstán","kaz","Asia","as"
14,"KHM","Camboya","khm","Asia","as"
1248,"KOR","Corea del Sur","kor","Asia","as"
46,"MYS","Malasia","mys","Asia","as"
114,"OMN","Omán","omn","Asia","as"
23,"PAK","Pakistán","pak","Asia","as"
41,"PHL","Filipinas","phl","Asia","as"
71,"PSE","Palestina","pse","Asia","as"
7,"QAT","Katar","qat","Asia","as"
153,"SAU","Arabia Saudita","sau","Asia","as"
80,"SGP","Singapur","sgp","Asia","as"
97,"SYR","Siria","syr","Asia","as"
93,"THA","Tailandia","tha","Asia","as"
244,"TUR","Turquía","tur","Asia","as"
232,"TWN","Taiwan","twn","Asia","as"
32,"VNM","Vietnam","vnm","Asia","as"
58,"ALB","Albania","alb","Europa","eu"
166,"AUT","Austria","aut","Europa","eu"
309,"BEL","Bélgica","bel","Europa","eu"
892,"CHE","Suiza","che","Europa","eu"
24,"CZE","Chequia","cze","Europa","eu"
3996,"DEU","Alemania","deu","Europa","eu"
33,"DNK","Dinamarca","dnk","Europa","eu"
8847,"ESP","España","esp","Europa","eu"
16,"FIN","Finlandia","fin","Europa","eu"
3712,"FRA","Francia","fra","Europa","eu"
2582,"GBR","Reino Unido","gbr","Europa","eu"
258,"GRC","Grecia","grc","Europa","eu"
52,"HRV","Croacia","hrv","Europa","eu"
116,"HUN","Hungría","hun","Europa","eu"
466,"IRL","Irlanda","irl","Europa","eu"
2301,"ITA","Italia","ita","Europa","eu"
25,"LTU","Lituania","ltu","Europa","eu"
489,"NLD","Países Bajos","nld","Europa","eu"
133,"NOR","Noruega","nor","Europa","eu"
240,"POL","Polonia","pol","Europa","eu"
228,"PRT","Portugal","prt","Europa","eu"
75,"ROU","Rumania","rou","Europa","eu"
1280,"RUS","Rusia","rus","Europa","eu"
24,"SRB","Serbia","srb","Europa","eu"
4,"SVK","Eslovaquia","svk","Europa","eu"
6,"SVN","Eslovenia","svn","Europa","eu"
268,"SWE","Suecia","swe","Europa","eu"
463,"UKR","Ucrania","ukr","Europa","eu"
73,"BHS","Las Bahamas","bhs","América del Norte","na"
894,"BLZ","Belice","blz","América del Norte","na"
4,"BRB","Barbados","brb","América del Norte","na"
8858,"CAN","Canadá","can","América del Norte","na"
2298,"CRI","Costa Rica","cri","América del Norte","na"
12671,"CUB","Cuba","cub","América del Norte","na"
11,"CUW","Curaçao","cuw","América del Norte","na"
1151,"DOM","República Dominicana","dom","América del Norte","na"
319,"GRD","Granada","grd","América del Norte","na"
13791,"GTM","Guatemala","gtm","América del Norte","na"
13089,"HND","Honduras","hnd","América del Norte","na"
3893,"HTI","Haití","hti","América del Norte","na"
64,"JAM","Jamaica","jam","América del Norte","na"
1984,"NIC","Nicaragua","nic","América del Norte","na"
1795,"PAN","Panamá","pan","América del Norte","na"
298,"PRI","Puerto Rico","pri","América del Norte","na"
6585,"SLV","El Salvador","slv","América del Norte","na"
10,"TTO","Trinidad y Tobago","tto","América del Norte","na"
381464,"USA","Estados Unidos","usa","América del Norte","na"
695,"AUS","Australia","aus","Oceanía","oc"
144,"NZL","Nueva Zelandia","nzl","Oceanía","oc"
20,"PNG","Papua Nueva Guinea","png","Oceanía","oc"
9016,"ARG","Argentina","arg","América del Sur","sa"
906,"BOL","Bolivia","bol","América del Sur","sa"
6803,"BRA","Brasil","bra","América del Sur","sa"
3656,"CHL","Chile","chl","América del Sur","sa"
13940,"COL","Colombia","col","América del Sur","sa"
2477,"ECU","Ecuador","ecu","América del Sur","sa"
116,"GUY","Guayana","guy","América del Sur","sa"
3229,"PER","Perú","per","América del Sur","sa"
663,"PRY","Paraguay","pry","América del Sur","sa"
627,"URY","Uruguay","ury","América del Sur","sa"
33826,"VEN","Venezuela","ven","América del Sur","sa"
1461,"XXA","S/N","xxa","S/N","x"